sku,price
M00840,97.89
M00841,17.89
M00842,74.89
M00843,44.99
M00844,380.99
M00845,109.99
M00846,16.99
M00847,108.99
M00848,24.99
M00849,373.89
M00850,68.99
M00851,61.99
M00852,79.99
M00853,47.99
M00854,71.99
M00855,489.99
M00856,84.79
M00857,98.99
M00858,43.99
M00859,84.79
M00860,317.99
M00861,59.89
M00862,484.99
M00863,31.99
M00864,15.98
M00865,7.39
M00866,25.98
M00867,52.99
M00868,37.99
M00869,18.99
M00870,59.98
M00871,54.99
M00872,39.98
M00873,126.89
M00874,4.99
M00875,168.99
M00876,59.89
M00877,60.99
M00879,484.99
M00880,48.99
M00881,114.99
M00882,190.99
M00883,26.99
M00884,36.98
M00885,31.99
M00886,71.89
M00887,61.99
M00890,19.99
M00891,36.99
M00892,31.99
M00893,25.98
M00894,115.99
M00895,54.99
M00896,9.99
M00897,15.99
M00898,124.99
M00899,27.99
M00900,78.99
M00901,54.99
M00902,426.89
M00903,31.98
M00904,149.99
M00905,214.99
M00906,41.99
M00907,38.99
M00908,61.99
M00909,18.99
M00910,17.99
M00911,1034.99
M00912,44.99
M00913,304.99
M00914,41.99
M00915,1237.99
M00916,25.99
M00917,7.99
M00918,80.89
M00919,18.99
M00920,29.98
M00921,358.99
M00922,41.99
M00923,49.89
M00924,413.99
M00925,944.99
M00926,16.99
M00927,29.98
M00928,106.99
M00929,1443.99
M00930,70.99
M00931,124.99
M00932,28.99
M00933,148.99
M00934,529.89
M00935,48.99
M00936,26.98
M00937,417.89
M00938,31.99
M00939,70.99
M00940,1601.99
M00941,20.99
M00942,176.99
M00943,214.99
M00944,674.99
M00945,18.99
M00946,271.99
M00947,29.98
M00948,794.99
M00949,224.99
M00950,24.99
M00951,1304.99
M00952,115.99
M00953,7.99
M00954,1069.99
M00955,254.99
M00956,34.99
M00957,132.99
M00958,49.99
M00959,109.89
M00960,48.99
M00961,55.98
M00962,27.99
M00963,164.99
M00964,38.99
M00965,1650.99
M00966,529.89
M00967,99.98
M00969,258.99
M00970,37.99
M00971,98.99
M00972,314.99
M00973,8.99
M00974,401.99
M00975,6.99
M00976,548.99
M00977,11.99
M00978,159.99
M00979,24.98
M00980,548.99
M00981,93.99
M00982,50.99
M00983,36.99
M00984,16.99
M00985,37.99
M00986,43.99
M00987,232.99
M00988,24.99
M00989,73.99
M00990,52.99
M00991,352.99
M00992,194.99
M00993,446.99
M00994,293.99
M00995,101.99
M00996,529.89
M00997,143.89
M00998,22.99
M00999,17.99
M01000,52.99
M01001,1573.99
M01002,24.99
M01003,60.99
M01004,30.99
M01005,795.99
M01006,16.99
M01007,474.99
M01008,30.99
M01009,994.99
M01010,9.99
M01011,9.99
M01012,7.99
M01013,779.99
M01014,16.99
M01015,986.99
M01016,84.99
M01021,1856.99
M01022,113.99
M01023,153.99
M01024,41.99
M01025,21.99
M01026,215.99
M01027,164.99
M01030,36.99
M01033,744.99
M01034,9.99
M01035,179.99
M01036,138.99
M01037,58.99
M01038,58.99
M01039,785.99
M01040,9.99
M01041,461.99
M01042,40.99
M01043,228.99
M01044,994.99
M01045,37.99
M01046,93.99
M01047,24.99
M01048,68.99
M01050,68.99
M01051,392.99
M01052,19.99
M01053,224.99
M01054,68.99
M01056,1374.99
M01057,68.99
M01059,38.99
M01060,124.99
M01061,623.99
M01062,113.99
M01063,51.99
M01066,4.99
M01067,44.99
M01068,24.99
M01069,27.99
M01070,676.99
M01071,101.99
M01072,175.99
M01073,674.99
M01076,554.99
M01086,114.99
M01087,14.99
M01088,84.99
M01089,168.99
M01090,16.99
M01091,382.99
M01092,215.99
M01093,21.99
M01094,25.89
M01095,78.99
M01096,38.99
M01097,94.99
M01098,27.99
M01099,18.99
M01100,41.99
M01101,124.99
M01102,106.99
M01149,290.99
M01150,290.99
M01151,89.99
M01152,32.99
M01153,18.89
M01155,89.99
M01156,103.99
M01157,290.99
M01159,290.99
M01160,290.99
M01161,89.99
M01162,89.99
M01163,89.99
M01165,168.99
M01166,168.99
M01167,168.99
M01168,168.99
M01169,168.99
M01170,89.99
M01171,659.99
M01172,9.94
M01173,143.99
M01174,277.99
M01175,875.99
M01176,128.99
M01177,129.99
M01178,118.99
M01179,103.99
M01180,494.99
M01181,99.99
M01182,665.99
M01190,164.99
M01192,99.99
M01193,184.99
M01194,134.99
M01197,3494.99
M01201,10.99
M01202,277.99
M01203,9.99
M01204,65.99
M01205,25.99
M01206,158.99
M01207,119.99
M01208,144.99
M01209,109.99
M01214,48.99
M01215,48.99
M01216,38.99
M01217,234.99
M01218,31.99
M01219,354.99
M01220,158.99
M01221,158.99
M01222,139.99
M01223,109.99
M01224,103.99
M01225,277.99
M01226,156.99
M01227,3.99
M01228,353.99
M01229,27.99
M01230,151.99
M01231,481.99
M01232,338.99
M01235,414.99
M01236,65.99
M01237,21.99
M01238,19.99
M01239,52.99
M01240,184.99
M01241,994.99
M01250,19.99
M01251,28.99
M01252,54.99
M01253,154.99
M01254,388.99
M01274,68.99
M01275,19.99
M01276,298.99
M01277,144.99
M01278,10.99
M01299,794.99
M01300,33.99
M01304,144.99
M01305,131.99
M01306,83.99
M01310,274.99
M01311,274.99
M01312,274.99
M01329,168.99
M01331,99.99
M01389,349.00
M01390,349.00
M01391,349.00
M01392,69.00
M01393,69.00
M01394,69.00
