ID Next,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_005465,7640172191811,M00214,https://www.foto24.com/irix-45mm-f-1-4-dragonfly-nikon-f.html,https://www.photo24.fr/irix-45mm-f-1-4-dragonfly-nikon-f.html,714.99,Irix
FT_005467,7640172191828,M00215,https://www.foto24.com/irix-45mm-f-1-4-dragonfly-pentax-k.html,https://www.photo24.fr/irix-45mm-f-1-4-dragonfly-pentax-k.html,714.99,Irix
FT_005298,7640172191422,M00195,https://www.foto24.com/parasol-irix-para-irix-dragonfly-150mm-f-2-8.html,https://www.photo24.fr/pare-soleil-irix-pour-irix-dragonfly-150mm-f-2-8.html,27.99,Irix
FT_004330,7640172190074,0713519234,https://www.foto24.com/parasol-para-objetivos-irix-15mm.html,https://www.photo24.fr/pare-soleil-pour-objectifs-irix-15mm.html,27.99,Irix
FT_009825,7640172194065,M01147,https://www.foto24.com/irix-macro-rail-180.html,https://www.photo24.fr/irix-macro-rail-180.html,108.99,Irix
FT_004332,7640172190098,0713519235,https://www.foto24.com/tapa-protectora-trasera-para-objetivo-irix-para-canon.html,https://www.photo24.fr/cache-protecteur-arriere-pour-objectif-irix-pour-canon.html,14.99,Irix
FT_004334,7640172190111,0713519238,https://www.foto24.com/tapa-protectora-trasera-para-objetivo-irix-para-pentax.html,https://www.photo24.fr/cache-protecteur-arriere-pour-objectif-irix-pour-pentax.html,14.99,Irix
FT_004337,7640172190142,0713519236,https://www.foto24.com/funda-para-objetivos-irix-suave.html,https://www.photo24.fr/etui-pour-objectifs-irix-souple.html,24.99,Irix
x,,KitStepUpIrix,https://www.foto24.com/kit-filtro-irix-edge-nd32000-anillos-adaptadores-step-up.html,https://www.photo24.fr/kit-filtre-irix-edge-nd32000-bagues-d-adaptation-step-up.html,179.99,Irix
x,,KitIrixfilters,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32.html,112.99,Irix
x,,KitIrixfilters52,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-52mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-52mm.html,112.99,Irix
x,,KitIrixfilters55,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-55mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-55mm.html,118.99,Irix
x,,KitIrixfilters58,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-58mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-58mm.html,131.99,Irix
x,,KitIrixfilters62,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-62mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-62mm.html,139.99,Irix
x,,KitIrixfilters67,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-67mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-67mm.html,151.99,Irix
x,,KitIrixfilters72,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-72mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-72mm.html,162.99,Irix
x,,KitIrixfilters77,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-77mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-77mm.html,175.99,Irix
x,,KitIrixfilters95,https://www.foto24.com/kit-filtros-irix-edge-uv-cpl-nd32-95mm.html,https://www.photo24.fr/kit-filtres-irix-edge-uv-cpl-nd32-95mm.html,309.99,Irix
x,,irixgenesis1,https://www.foto24.com/kit-irix-11mm-f-4-0-firefly-cabezal-panoramico-genesis-ir-64.html,https://www.photo24.fr/kit-irix-11mm-f-4-0-firefly-tete-panoramique-genesis-ir-64.html,559.99,Irix
