ID Next,Nombre,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_004090,Genesis Base LPL-200 Lens Plate,5901698710880,0713623265,https://www.foto24.com/plato-de-liberacion-rapida-genesis-lpl-200-nikkor-70-200-f2-8-vr.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-lpl-200-nikkor-70-200-f2-8-vr.html,26.99,Genesis
FT_004068,Genesis Base MH-10 Head,5901698710668,0713623266,https://www.foto24.com/cabezal-abatible-genesis-base-mh-10.html,https://www.photo24.fr/rotule-rabattable-genesis-base-mh-10.html,84.99,Genesis
FT_004067,Genesis Base MH-20 Tilt Head,5901698710651,0713623267,https://www.foto24.com/cabezal-genesis-mh-20.html,https://www.photo24.fr/rotule-genesis-mh-20.html,74.99,Genesis
FT_004249,Genesis Base Monopod Support Stand S-1,5901698711986,0713623268,https://www.foto24.com/base-para-monopie-genesis-s-1.html,https://www.photo24.fr/base-genesis-s-1-pour-monopode.html,19.99,Genesis
FT_004063,Genesis Base MPC-3 Monopod,5901698710972,0713623269,https://www.foto24.com/monopie-genesis-base-mpc-3.html,https://www.photo24.fr/monopode-genesis-base-mpc-3.html,42.99,Genesis
FT_004238,Genesis Base NDS-100 Nodal Slide,5901698714147,0713623270,https://www.foto24.com/plato-de-liberacion-rapida-genesis-nds-100-nodal.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-nds-100-nodal.html,44.99,Genesis
FT_004239,Genesis Base NDS-140 Nodal Slide,5901698714154,0713623271,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-nds-140.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-base-nds-140.html,49.99,Genesis
FT_004240,Genesis Base NDS-200 Nodal Slide,5901698714161,0713623272,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-nds-200.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-base-nds-200.html,49.99,Genesis
FT_004069,Genesis Base PC-02 Quick-Release Clamp,5901698710675,0713623273,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pc-02.html,https://www.photo24.fr/rotule-panoramique-genesis-base-pc-02.html,49.99,Genesis
FT_004072,Genesis Base PH-01 Panoramic Head,5901698710705,0713623274,https://www.foto24.com/cabezal-panoramico-genesis-ph-01.html,https://www.photo24.fr/tete-panoramique-genesis-ph-01.html,284.99,Genesis
FT_004080,Genesis Base PLA-100 Universal Plate,5901698710781,0713623275,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pla-100.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-base-pla-100.html,9.99,Genesis
FT_004081,Genesis Base PLA-140 Universal Plate,5901698710798,0713623276,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pla-140.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-base-pla-140.html,13.99,Genesis
FT_004082,Genesis Base PLA-200 Universal Plate,5901698710804,0713623277,https://www.foto24.com/genesis-base-pla-200-universal-plate.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-base-pla-200.html,16.99,Genesis
FT_004076,Genesis Base PLA-28 Universal Plate,5901698710743,0713623278,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pla-28.html,https://www.photo24.fr/plateau-rapide-genesis-base-pla-28.html,13.99,Genesis
FT_004077,Genesis Base PLA-50 Universal Plate,5901698710750,0713623279,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pla-50.html,https://www.photo24.fr/plateau-rapide-genesis-base-pla-50.html,6.99,Genesis
FT_004078,Genesis Base PLA-60 Universal Plate,5901698710767,0713623280,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pla-60.html,https://www.photo24.fr/plateau-rapide-genesis-base-pla-60.html,7.99,Genesis
FT_004079,Genesis Base PLA-70 Universal Plate,5901698710774,0713623281,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pla-70.html,https://www.photo24.fr/plateau-rapide-genesis-pla-70.html,7.99,Genesis
FT_004083,Genesis Base PLL-100 L-Type Plate,5901698710811,0713623282,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-100-tipo-l.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-pll-100-de-type-l.html,13.99,Genesis
FT_004256,Genesis Base PLL-5DMKIII L-Type Plate,5901698711924,0713623283,https://www.foto24.com/plato-de-liberacion-rapida-genesis-base-pll-5dmkiii-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-base-pll-5dmkiii-type-l.html,39.99,Genesis
